config1,config2,val
xterm-00019,ixterm-00013-00019,True
xterm-00019,ixterm-00014-00019,True
xterm-00019,ixterm-00015-00019,True
xterm-00019,ixterm-00016-00019,True
xterm-00019,ixterm-00017-00019,True
xterm-00019,ixterm-00018-00019,True
xterm-00019,ixterm-00020-00019,True
xterm-00020,ixterm-00001-00020,True
xterm-00020,ixterm-00002-00020,True
xterm-00020,ixterm-00003-00020,True
xterm-00020,ixterm-00004-00020,True
xterm-00020,ixterm-00005-00020,True
xterm-00020,ixterm-00006-00020,True
xterm-00020,ixterm-00007-00020,True
xterm-00020,ixterm-00008-00020,True
xterm-00020,ixterm-00009-00020,True
xterm-00020,ixterm-00010-00020,True
xterm-00020,ixterm-00011-00020,True
xterm-00020,ixterm-00012-00020,True
xterm-00020,ixterm-00013-00020,True
xterm-00020,ixterm-00014-00020,True
xterm-00020,ixterm-00015-00020,True
xterm-00020,ixterm-00016-00020,True
xterm-00020,ixterm-00017-00020,True
xterm-00020,ixterm-00018-00020,True
xterm-00020,ixterm-00019-00020,True
